brand,total,2026-05,2026-06,2026-07,2026-08,2026-09
Aeza,870,95,215,293,176,91
Nodehost,501,53,147,125,134,42
Beget,352,44,82,93,81,52
Selectel,339,35,75,96,89,44
Hetzner,235,23,38,63,81,30
TimeWeb,222,20,52,53,57,40
Play2Go,220,62,32,56,54,16
Akenai,194,19,59,55,35,26
Intezio,188,25,104,36,12,11
Datagio,184,0,49,22,43,70
Waicore,153,26,41,46,27,13
Qwins,145,18,27,49,33,18
Eternity Cloud,139,9,19,23,45,43
OneDash,76,9,8,16,32,11
1cent.host,54,13,12,10,17,2
4VPS,54,6,17,12,16,3
ExpressHost,53,10,16,11,6,10
Doubleservers,50,6,10,13,18,3
AstraVPS,46,0,0,12,12,22
Veesp,42,10,11,7,11,3
AdminVPS,42,7,6,12,9,8
Vyrex,37,4,2,16,8,7
VpsPay,36,3,4,11,10,8
HostKey,31,4,7,12,4,4
Puws.Cloud,30,0,11,13,6,0
Soulful Hosting,30,0,0,20,9,1
FirstVDS,29,4,13,8,4,0
DataCheap,29,1,10,6,5,7
H2Nexus,28,3,3,4,7,11
Hip-Hosting,28,4,11,3,4,6
DHostvps,28,2,7,2,9,8
Mevspace,27,3,8,6,4,6
Hostup,22,2,10,7,3,0
Vpstc,20,4,5,7,4,0
Tihost,20,8,6,1,2,3
Serv.host,20,7,4,5,1,3
Xytor,20,0,0,4,12,4
Cloudrix,19,5,5,3,4,2
Freakhosting,19,5,2,8,3,1
Forestsnet,19,1,0,2,9,7
Infomaniak,18,4,5,3,4,2
UFO Hosting,18,4,7,1,5,1
IShosting,18,1,12,1,4,0
H1Cloud,18,0,1,8,3,6
Aurorix,17,1,14,1,1,0
WarpX,16,10,2,3,0,1
Hostzealot,16,0,12,2,2,0
DeluxHost,16,0,2,5,7,2
Hostes.io,16,0,1,11,2,2
PowerRDP,16,0,0,3,7,6
Hostvds,15,3,1,2,5,4
OVH,14,1,3,4,6,0
Cloudcore,14,1,1,2,9,1
Midas Hosting,14,8,1,3,1,1
Bluevps,14,2,6,3,2,1
Inferno,14,0,3,9,2,0
Makecloud,14,0,3,11,0,0
Blackmore,13,2,9,2,0,0
Melbicom,13,3,3,4,2,1
StenCloud,13,0,0,0,6,7
Clouvider,12,1,3,4,4,0
HOSTOFF.NET,12,2,3,3,4,0
Yottasrc,12,2,3,1,3,3
Cherry Servers,12,0,2,2,6,2
Vultr,12,0,0,4,6,2
G-Core,11,1,1,0,7,2
Purecloud,11,0,7,4,0,0
Justhost,10,1,3,2,3,1
Netgrid,10,2,3,3,2,0
Profitserver,10,0,1,2,2,5
Xorek,9,1,1,4,2,1
Scaleway,9,0,2,4,1,2
AlexHost,9,0,4,0,3,2
Dataforest,8,0,1,1,1,5
Kyonix,7,4,1,2,0,0
VDSKA,7,2,0,2,3,0
Upcloud,7,0,2,3,2,0
SmartApe,7,0,1,4,0,2
Procloud,6,3,1,1,1,0
Hostdzire,6,0,4,0,1,1
The-AE.cloud,6,0,1,5,0,0
U1Host,6,0,0,3,3,0
Lili.cloud,6,0,0,0,5,1
Turtleguard,5,0,1,2,2,0
Aluy,4,3,1,0,0,0
SWE Hosting,4,0,0,3,1,0
ITLDC,4,0,0,0,2,2
Rawi Host,4,0,0,0,2,2
Rifty,3,2,1,0,0,0
DigitalOcean,3,0,2,1,0,0
NuxtCloud,3,0,1,2,0,0
SharpTech,3,0,1,2,0,0
Unesty,3,0,0,3,0,0
Racknerd,3,0,0,3,0,0
Phylex,3,0,0,3,0,0
Dedicate IT,3,0,0,3,0,0
ToolVPS,3,0,0,0,1,2
Awas,3,0,0,0,3,0
Serverspace,2,1,0,0,1,0
iwihost,2,1,1,0,0,0
Vpsville,2,0,1,1,0,0
Onidel,2,0,2,0,0,0
Netangels,2,0,1,0,1,0
On1x,2,0,0,1,0,1
It-Garage,2,0,0,1,0,1
Alwyzon,2,0,0,1,1,0
Wuldi,2,0,0,1,1,0
VK Cloud,2,0,0,0,2,0
LisaHost,2,0,0,0,2,0
Nivaro,2,0,0,0,1,1
Pfcloud,2,0,0,0,0,2
Vihyper,1,1,0,0,0,0
Yeezyhost,1,0,1,0,0,0
Dasabo,1,0,1,0,0,0
Skrime,1,0,1,0,0,0
DieselHost,1,0,0,0,1,0
Infrawire,1,0,0,0,0,1
Rabisu,1,0,0,0,0,1
LunarHost,1,0,0,0,0,1
