msg_id,date,brand,pos,neg,reason
622465,2026-06-02,SharpTech,24,1,"много реакций, вердикт автора не распознан"
532719,2026-05-18,Play2Go,0,21,"много реакций, вердикт автора не распознан"
1180450,2026-08-24,Hostes.io,1,20,"много реакций, вердикт автора не распознан"
965210,2026-07-25,Nodehost,0,20,"много реакций, вердикт автора не распознан"
788826,2026-07-02,ExpressHost,3,14,"много реакций, вердикт автора не распознан"
800473,2026-07-04,ExpressHost,8,9,"много реакций, вердикт автора не распознан"
993538,2026-07-29,Xytor,4,13,"много реакций, вердикт автора не распознан"
700844,2026-06-16,Nodehost,0,16,"много реакций, вердикт автора не распознан"
776039,2026-06-30,Puws.Cloud,7,9,"много реакций, вердикт автора не распознан"
577134,2026-05-24,Play2Go,1,14,"много реакций, вердикт автора не распознан"
1084998,2026-08-10,AstraVPS,0,15,"много реакций, вердикт автора не распознан"
540307,2026-05-20,Nodehost,0,14,"много реакций, вердикт автора не распознан"
550820,2026-05-21,ExpressHost,4,10,"много реакций, вердикт автора не распознан"
740933,2026-06-23,Hostes.io,1,13,"много реакций, вердикт автора не распознан"
1316714,2026-09-14,Doubleservers,8,6,"много реакций, вердикт автора не распознан"
513847,2026-05-15,Nodehost,5,8,"много реакций, вердикт автора не распознан"
1080009,2026-08-09,On1x,0,13,пост опознан как вендорский автоматически — подтвердить
1340955,2026-09-17,Soulful Hosting,10,3,"много реакций, вердикт автора не распознан"
657122,2026-06-08,Alwyzon,12,0,"много реакций, вердикт автора не распознан"
866754,2026-07-13,Aeza,1,11,"много реакций, вердикт автора не распознан"
1247558,2026-09-04,Rawi Host,10,2,"много реакций, вердикт автора не распознан"
636424,2026-06-04,Aeza,0,11,"много реакций, вердикт автора не распознан"
640667,2026-06-05,Datagio,6,5,"много реакций, вердикт автора не распознан"
917776,2026-07-20,H1Cloud,0,11,"много реакций, вердикт автора не распознан"
1051027,2026-08-06,Qwins,0,11,"много реакций, вердикт автора не распознан"
1072981,2026-08-08,AstraVPS,0,11,"много реакций, вердикт автора не распознан"
1115752,2026-08-14,Rawi Host,9,2,"много реакций, вердикт автора не распознан"
1188462,2026-08-25,PowerRDP,0,11,"много реакций, вердикт автора не распознан"
1261710,2026-09-06,Nivaro,7,4,пост опознан как вендорский автоматически — подтвердить
979433,2026-07-27,Vyrex,2,8,"много реакций, вердикт автора не распознан"
1121388,2026-08-15,Metrabyte,10,0,"много реакций, вердикт автора не распознан"
1255505,2026-09-05,Xytor,3,7,"много реакций, вердикт автора не распознан"
513905,2026-05-15,Nodehost,1,8,"много реакций, вердикт автора не распознан"
624348,2026-06-02,Akenai,3,6,"много реакций, вердикт автора не распознан"
1162677,2026-08-21,On1x,1,8,пост опознан как вендорский автоматически — подтвердить
1178732,2026-08-23,Qwins,1,8,"много реакций, вердикт автора не распознан"
1249093,2026-09-04,Datagio,5,4,пост опознан как вендорский автоматически — подтвердить
650833,2026-06-07,Clouvider,3,5,"много реакций, вердикт автора не распознан"
944866,2026-07-23,Intezio,0,8,"много реакций, вердикт автора не распознан"
964924,2026-07-25,Tihost,5,3,"много реакций, вердикт автора не распознан"
995941,2026-07-29,Vyrex,8,0,пост опознан как вендорский автоматически — подтвердить
1063678,2026-08-07,Soulful Hosting,8,0,"много реакций, вердикт автора не распознан"
1032843,2026-08-03,Soulful Hosting,7,0,пост опознан как вендорский автоматически — подтвердить
1304932,2026-09-12,Nivaro,0,7,пост опознан как вендорский автоматически — подтвердить
632971,2026-06-04,Datagio,5,1,пост опознан как вендорский автоматически — подтвердить
1150042,2026-08-20,Soulful Hosting,3,3,пост опознан как вендорский автоматически — подтвердить
1217255,2026-08-30,Nivaro,4,1,пост опознан как вендорский автоматически — подтвердить
827129,2026-07-07,Eternity Cloud,0,2,пост опознан как вендорский автоматически — подтвердить
1210326,2026-08-29,StenCloud,1,1,пост опознан как вендорский автоматически — подтвердить
517510,2026-05-16,Serv.host,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
614240,2026-05-31,Bluevps,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
751033,2026-06-26,Datagio,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
869695,2026-07-14,Veesp,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
1046078,2026-08-05,Wuldi,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
1221782,2026-08-31,VDSKA,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
1308727,2026-09-13,Kyonix,0,0,"негативный вердикт от эвристики — подтвердить, чтобы включить переворот знака"
1335596,2026-09-17,Phylex,0,0,пост опознан как вендорский автоматически — подтвердить
