msg_id,date,author,reactions,head
504462,2026-05-14,Роман,1,"UPD2: На почте сейчас увидел письмо с подарком, там на выбор было всякое вплоть до 30р на баланс, взял выделенный(белый)"
545652,2026-05-20,Quince |Отвечаю с задержкой,1,🇳🇱 Netherlands  Тариф: 9.5 €/мес.  2 CPU | 4 RAM | 40 NVME.  Канал 10 Gb/s  Покупка -> Verdian Cloud  Являюсь со-владель
666880,2026-06-10,𝚁𝚎𝚟𝚢,3,Не реф | Реф  Локация: Германия 🇩🇪 Характеристики:   • RYZEN 5950X/5900X (2 ядра)   • 4GB RAM DDR4   • 50GB   • Shared 1
669445,2026-06-11,VATAKAT,0,"🏷 Реф / Не реф 🌉 Мост из РФ: Не нужен 💬 Великобритания, Ryzen 9 9950X 2 ЦПУ 4 Оперативки 120 гб места на диске Цена 12,9"
701772,2026-06-16,𝚊𝚝𝚊𝚛𝚊𝚡𝚒𝚊 | 1426 | #гдемоянога,0,Рефки нет(а жалко) Лока: швейцария Характеристики: Какой-то эпик на 2.4ггц(стил 0)  2 рам ддр4 20гб диска на 200мб/с(дад
1153692,2026-08-20,bryte,0,"linode (akamai) - швеция (2/4 shared cpu, 40/4 in/out). 4 тб трафика далее 0.005 бач/гб. =НУЖЕН МОСТИК ИЛИ CDN= Мое мнен"
1160138,2026-08-21,yng dev Zover,16,😍🥰😘😻❤️ 📍 Локация: 🇩🇪 Германия 🖥 Характеристики:  - 1 vCPU AMD Ryzen 9 9950X - 2 GB RAM - 30 GB SSD NVMe - до 25 Gbps Цен
1179785,2026-08-23,₽er$on,0,"на польше и нидерландах стил скачет резко от 0.4 до 10-15,на остальных скачет 10-20 а еще неделю назад был стил 70% на г"
1180863,2026-08-24,Nayan,0,"если что все локации + new ripe. cdn яшки их так же не берет. единственная что живет - это нидерланды, но про доступ к я"
1180977,2026-08-24,Andrew,0,"Там половина адресов в бане. Да, можно поменять ip, но это лотерея с билетиком за 30р. Мне повело, потратил примерно 300"
1182942,2026-08-24,прevsходен,0,А ты еще им пишешь А У ВАС ВООБЩЕ ЕСТЬ IP НЕ В БАНЕ? я еле как выбил другю подсеть сумарно рублей 60 потратил (мне крайн
1221341,2026-08-31,Саргон,1,"🇰🇿 Казахстан - LikeVPS 1 Gbit/s   2 vCPU / 4 GB RAM / 1 Gbit/s - 17$  Хуйта редкостная, от 1 гбита вы получаете жосткие "
1241666,2026-09-03,myaso,18,"notegpt.  бесплатно  договорился с чуваком, и он предоставил мне своб машину. По тестам - ахуенная америка."
1253820,2026-09-05,Теймур,0,Мне пиздец как там повезло Именно на Финке  В какой парад планет видимо попал  Попал на чистейшую подсеть Отличное гео И
1266110,2026-09-06,Archi,4,#USA #US #10GB 📍 Локация: 🇺🇸 США 🖥 Характеристики:  - 2 vCPU AMD Ryzen 9 9900X - 2 GB RAM - 20 GB SSD NVMe - до 10 Gb/s 
1302026,2026-09-12,𝚊𝚝𝚊𝚛𝚊𝚡𝚒𝚊 | 1426 | #гдемоянога,5,"РЕФ(пж) | НЕРЕФ  вкусненькая германия, стабильно держущая гигабит и хороший пинг, раз в 3-4 дня в сейле появляются дедик"
